,tweet,2,3,clean_tweets
0,Datetime,id_tweet,tweet,e
1,2020-04-28 08:45:41,1255055575207030791,Heureusement que le côté Compassion et Pratique des Femmes ont toujours soutenu l'Humanité mais dans l'Ombre malheu… https://t.co/8qW82G81s6,
